⌚	zegarek	godzina|zegarek
🌈	tęcza	deszcz|gej|geje|kolory|les|lesbijki|lgbt|lgbtq|lgbtqia|nadzieja|pogoda|pride|słońce|tęcza|transpłciowość
🌉	most nocą	most|most nocą|most w nocy
🌊	fala	fala|fale|hokusai|kanagawa|morze|obraz|ocean|tsunami|wielka fala
🌋	wulkan	erupcja|góra|lawa|wulkan
🌌	Droga Mleczna	Droga Mleczna|gwiazdy|niebo|noc
🌍	kula ziemska przedstawiająca Europę i Afrykę	Afryka|Europa|kula ziemska|kula ziemska przedstawiająca Europę i Afrykę|planeta|świat|Ziemia
🌎	kula ziemska przedstawiająca Ameryki	Ameryka|Ameryka Północna i Południowa|Ameryki|kula ziemska|kula ziemska przedstawiająca Ameryki|planeta|świat|Ziemia
🌏	kula ziemska przedstawiająca Azję i Australię	Australia|Azja|kula ziemska|kula ziemska przedstawiająca Azję i Australię|planeta|świat|Ziemia
🌐	kula ziemska z południkami	glob|globus|kula ziemska z meridianami|kula ziemska z południkami|południki|równoleżniki|ziemia
🌑	nów	ciemny księżyc|księżyc|noc|nów
🌒	narastający półksiężyc	cieniutki księżyc|księżyc|narastający półksiężyc|noc|sierp
🌓	pierwsza kwadra księżyca	księżyc|kwadra|noc|pierwsza kwadra księżyca
🌔	narastający księżyc między pierwszą kwadrą a pełnią	księżyc|księżyc z brzuszkiem|narastający księżyc między pierwszą kwadrą a pełnią|noc|tłusty księżyc
🌕	pełnia	jasny księżyc|księżyc|noc|pełnia|pełny księżyc
🌖	zanikający księżyc między pełnią a ostatnią kwadrą	chudnący|księżyc|księżyc z brzuszkiem|noc|tłusty księżyc|zanikający księżyc między pełnią a ostatnią kwadrą
🌗	ostatnia kwadra księżyca	księżyc|kwadra|noc|ostatnia kwadra|ostatnia kwadra księżyca
🌘	zanikający półksiężyc	cieniutki księżyc|księżyc|noc|sierp|zanikający półksiężyc
🌙	półksiężyc	księżyc|noc|półksiężyc|sierp|sierp księżyca
🌚	nów z twarzą	bajka|baśń|księżyc|księżyc w nowiu|księżyc z twarzą|noc|nów|nów z twarzą
🌛	pierwsza kwadra księżyca z twarzą	bajka|księżyc|księżyc z twarzą|noc|pierwsza kwadra|pierwsza kwadra księżyca|pierwsza kwadra księżyca z twarzą
🌜	ostatnia kwadra księżyca z twarzą	bajka|baśń|księżyc|księżyc z twarzą|noc|ostatnia kwadra|ostatnia kwadra księżyca|ostatnia kwadra księżyca z twarzą
🌝	pełnia z twarzą	bajka|baśń|księżyc|księżyc w pełni|księżyc w pełni z twarzą|księżyc z twarzą|pełnia|pełnia z twarzą
🌞	słońce z twarzą	bajka|baśń|ciepło|głowa|magia|promienny|słońce|słońce z twarzą|twarz|uśmiech
🌟	błyszcząca gwiazda	błyszcząca|gwiazda|gwiazdka|lśniąca|świecąca gwiazdka
🌠	spadająca gwiazda	gwiazda|kometa|noc|spadająca|życzenie
🌭	hot dog	frankfurterka|hot dog|hotdog|parówka
🌮	taco	jedzenie|meksykańskie|taco
🌯	burrito	burito|burrito|jedzenie|meksykańskie|wrap
🌰	kasztan	jedzenie|kasztan|kasztan jadalny|orzech|orzeszek
🌱	sadzonka	kiełek|młoda|pęd|roślina|roślinka|sadzonka
🌲	wiecznie zielone drzewo	choinka|drzewo|iglaste|igły|las|roślina|wiecznie zielone
🌳	drzewo liściaste	drzewo|liściaste|roślina
🌴	palma	drzewo|palma|roślina|tropiki|wyspa
🌵	kaktus	kaktus|kłuje|kolce|pustynia|roślina
🌷	tulipan	kwiat|pąk|roślina|tulipan
🌸	kwiat wiśni	kwiat|kwiat wiśni|kwiatek|kwitnąca wiśnia|sakura|wiśnia
🌹	róża	czerwony|kwiat|miłość|roślina|róża
🌺	kwiat hibiskusa	hibiskus|hibiskusa|kwiat|roślina
🌻	słonecznik	kwiat|roślina|słońce|słonecznik
🌼	kwiat	kwiat|kwiatek|kwitnie|roślina
🌽	kolba kukurydzy	jedzenie|kolba|kukurydza|kukurydzy|warzywo
🌾	pędy ryżu	pędy ryżu|roślina|ryż|ziarno|żniwa
🌿	zioło	liście|roślina|zioła|zioło
🍀	czterolistna koniczyna	czterolistna|koniczyna|koniczynka|roślina|szczęście
🍁	liść klonowy	jesień|jesienny|klon|klonowy|klonu|liść
🍂	spadające liście	jesień|jesienne|liście|roślina|spadające
🍃	liście na wietrze	liście|na wietrze|podmuch|roślina|wiatr|wicher
🍄	grzyb	grzyb|muchomor|muchomorek|trujący
🍄‍🟫	brązowy grzyb	borowik|brązowy|grzyb|jedzenie|natura|shiitake|warzywo
🍅	pomidor	jedzenie|pomidor|szklarniowe|warzywo
🍆	bakłażan	bakłażan|jedzenie|oberżyna|warzywo
🍇	winogrona	jedzenie|owoce|winogrona
🍈	melon	jedzenie|melon|owoc
🍉	arbuz	arbuz|arbuza|jedzenie|kawałek|lato|owoc
🍊	mandarynka	cytrus|jedzenie|mandarynka|owoc|pomarańcza
🍋	cytryna	cytrus|cytryna|jedzenie|kwaśny|owoc|żółty
🍋‍🟩	limonka	cytrus|kwaśne|limetka|limonka|mojito|owoc|soczysty|tequila|tropikalny
🍌	banan	banan|egzotyczny|jedzenie|owoc
🍍	ananas	ananas|egzotyczny|jedzenie|owoc
🍎	czerwone jabłko	czerwone|jabłko|jedzenie|owoc|słodkie
🍏	zielone jabłko	jabłko|jedzenie|owoc|zielone jabłko|zielone jabłuszko
🍐	gruszka	gruszka|jedzenie|owoc
🍑	brzoskwinia	brzoskwinia|jedzenie|owoc
🍒	wiśnie	czereśnie|jedzenie|owoce|wiśnie
🍓	truskawka	jedzenie|owoc|truskawka
🍔	hamburger	bułka|burger|fast food|hamburger|jedzenie
🍕	pizza	fast food|jedzenie|kawałek|pizza|pizzy
🍖	mięso z kością	jedzenie|kość|mięso|mięso z kością
🍗	udko kurczaka	jedzenie|kurczak|mięso|nóżka|udko|udko kurczaka
🍘	krakers ryżowy	jedzenie|krakers|ryż|ryżowy
🍙	kulka ryżowa	jedzenie|kulka|onigiri|ryż|ryżowa
🍚	gotowany ryż	gotowany|jedzenie|miseczka|ryż|z ryżem
🍛	ryż curry	curry|jedzenie|ryż|sos|z sosem
🍜	miska parującego jedzenia	jedzenie|kluski|miska|parująca|parujące|pho|ramen|zupa
🍝	spaghetti	jedzenie|kluski|makaron|pasta|spagetti|spaghetti
🍞	chleb	bochenek|chleb|chleba|jedzenie|kawałek|pieczywo
🍟	frytki	fast food|frytki|jedzenie
🍠	pieczony batat	batat|jedzenie|pieczony|słodki ziemniak|ziemniak
🍡	dango	dango|deser|jedzenie|kulki mochi|mochi
🍢	oden	jedzenie|na patyku|oden|owoce morza|szaszłyk
🍣	sushi	jedzenie|sushi|suszi
🍤	smażona krewetka	jedzenie|krewetka|smażona|tempura
🍥	ciastko rybne	ciastko|jedzenie|Narutomaki|ramen|ryba|rybne|spirala
🍦	lody włoskie	jedzenie|lody|śmietankowe|świderek|w kubku|włoskie
🍧	lody hawajskie	deser|hawajskie|jedzenie|lody
🍨	lody	deser|jedzenie|lody
🍩	pączek z dziurką	ciasto|deser|jedzenie|pączek|słodki|z dziurką
🍪	ciastko	ciastko|deser|jedzenie|słodki|słodkie
🍫	tabliczka czekolady	czekolada|deser|jedzenie|słodycze|tabliczka czekolady
🍬	cukierek	cukierek|deser|jedzenie|słodki|słodycze
🍭	lizak	deser|jedzenie|lizak|słodki|słodycze
🍮	deser typu krem angielski	ciastko kremowe|creme brulee|custard|deser|jedzenie|krem|krem angielski|słodkie
🍯	garnek miodu	beczka|garnek|jedzenie|miód|miodu|słoik|z miodem
🍰	tort	ciasto|deser|jedzenie|przyjęcie|słodycze|tort
🍱	pudełko bento	bento|jedzenie|pudełko|ryż
🍲	garnek z jedzeniem	danie|garnek|jednogarnkowe|jedzenie|potrawka|z jedzeniem|zupa
🍳	gotowanie	gotowanie|jajko|jedzenie|patelnia|smażyć
🍴	widelec i nóż	gotowanie|jedzenie|kolacja|nóż|obiad|posiłek|restauracja|śniadanie|sztućce|widelec
🍵	filiżanka bez uszka	bez uszka|filiżanka|herbata|miseczka|spodek
🍶	sake	alkohol|butelka i kubek|sake
🍷	kieliszek wina	alkohol|kieliszek|restauracja|wina|wino
🍸	kieliszek z koktajlem	alkohol|bar|drink|impreza|kieliszek|koktajl|z koktajlem
🍹	drink tropikalny	alkohol|bar|drink|impreza|palemka|tropikalny|wakacje|z palemką
🍺	kufel piwa	alkohol|bar|impreza|kufel|piwa|piwo|pub|z piwem
🍻	stukające się kufle piwa	alkohol|bar|kufel|kufle|na zdrowie|piwiarnia|piwo|pub|stukające się kufle piwa|z piwem
🍼	butelka ze smoczkiem	bobas|butelka|dzidziuś|mleko|napój|niemowlęca|smoczek|ze smoczkiem
🍾	butelka z wystrzelającym korkiem	alkohol|bar|butelka|impreza|korek|nowy rok|przyjecie|strzelający korek|sylwester|szampan|toast
🍿	popcorn	jedzenie|kino|kukurydza|popcorn
🎀	wstążka	kokarda|kokardka|ozdoba|podarunek|prezent|wstążka
🎁	zapakowany prezent	kokarda|kokardka|paczka|podarunek|prezent|zapakowany prezent
🎂	tort urodzinowy	ciasto|jedzenie|przyjęcie|słodki|słodkie|świeczki|święto|świętowanie|tort|urodzinowy|urodziny|zdmuchnąć
🎃	dynia na halloween	dynia|dynia na halloween|halloween
🎄	choinka bożonarodzeniowa	bombki|boże narodzenie|choinka|choinka bożonarodzeniowa|drzewko|święta
🎅	Święty Mikołaj	boże narodzenie|głowa|gwiazdor|legenda|mężczyzna|mikołaj|praca|święta|święty mikołaj|zawód
🎆	fajerwerki	fajerwerki|nowy rok|obchody|ognie|petardy|święta|sylwester|sztuczne|zimne
🎇	zimne ognie	fajerwerki|nowy rok|obchody|ognie|petardy|święta|sylwester|sztuczne|zimne
🎈	balon	balon|balonik|impreza|uroczystość|urodziny
🎉	tuba z konfetti	bal|impreza|konfetti|tuba z konfetti|uroczystość
🎊	kula z konfetti	bal|impreza|konfetti|kula z konfetti|uroczystość
🎋	drzewko na Tanabata	bambus|drzewko na Tanabata|drzewo|drzewo życzeń|japońskie|tanabata|życzenia
🎌	skrzyżowane flagi	japońskie|japońskie flagi|skrzyżowane|skrzyżowane flagi|uroczystość
🎍	japońska dekoracja kadomatsu	bambus|japońska dekoracja kadomatsu|roślina|sosna
🎎	japońskie lalki	Japonia|japońskie lalki|lalki
🎏	flaga w kształcie karpia	flaga|flaga w kształcie karpia|ryby
🎐	dzwonek wietrzny	dzwonek|dzwonki|wietrzny
🎑	ceremonia oglądania księżyca	ceremonia oglądania księżyca|Jugoya|księżyc|podziwiać|święto podziwiania księżyca|świętować|tsukimi
🎒	tornister	edukacja|plecak|szkoła|tornister
🎓	biret	absolwenta|biret|czapka|edukacja|nakrycie głowy|studia|ubiór|uczony|uniwersytet|uroczystość
🎠	koń z karuzeli	karuzela|koń z karuzeli|konik
🎡	diabelski młyn	diabelski|karuzela|młyn|park rozrywki|wesołe miasteczko
🎢	kolejka górska	kolejka górska|park rozrywki|rollercoaster|wesołe miasteczko
🎣	wędka	łowienie ryb|wędka|wędka z rybą|złowić
🎤	mikrofon	karaoke|mikrofon|muzyka|śpiewać
🎥	kamera filmowa	film|kamera|kamera filmowa|kinematografia|kino
🎦	kino	film|kamera|kino|kręcić film
🎧	słuchawki	muzyka|słuchawka|słuchawki
🎨	paleta malarska	farby|kolory|malarska|malarz|muzeum|paleta|sztuka
🎩	cylinder	cylinder|kapelusz|męskie nakrycie głowy
🎪	namiot cyrkowy	cyrk|namiot|namiot cyrkowy
🎫	bilet	bilet|wstęp
🎬	klaps	film|kino|klaps
🎭	maski teatralne	maski|teatr|teatralne|występ|występować
🎮	gra wideo	do gier|gamepad|gra|gra wideo|konsola|kontroler|pad
🎯	strzał w 10	cel|dziesiątka|gra|lotki|strzał|trafienie|w 10|w dziesiątkę|zabawa
🎰	automat do gier	automat do gier|automat do gry|gra|hazard|jednoręki bandyta|kasyno
🎱	bila 8	8|bila|bilard|gra|kula|kula bilardowa
🎲	kostka do gry	gra|hazard|kości|kostka|kostka do gry|w kości
🎳	kręgle	bowling|kręgle|kula|sport
🎴	gra karciana hanafuda	gra|hanafuda|japońska|karciana|karta|kwiat
🎵	nuta	muzyka|nuta
🎶	nuty	muzyka|nuta|nuty
🎷	saksofon	instrument|muzyka|orkiestra|saksofon
🎸	gitara	gitara|instrument|muzyka
🎹	klawisze	fortepian|instrument|keyboard|klawiatura|klawisze|muzyka|pianino
🎺	trąbka	grać|instrument|muzyka|orkiestra|trąbka
🎻	skrzypce	altówka|grać|instrument|muzyczny|muzyk|muzyka|orkiestra|skrzypce|smyczek|strunowy
🎼	partytura	klucz|muzyka|nuty|partytura|pięciolinia|wiolinowy
🎽	koszulka do biegania	bieganie|do biegania|koszulka|sport|szarfa|t-shirt
🎾	tenis	do tenisa|piłka|rakieta|sport|tenis|tenisowa
🎿	narty	narty|śnieg|sport|stok|zima
🏀	koszykówka	do kosza|do koszykówki|kosz|koszykowa|koszykówka|piłka|sport
🏁	flaga w szachownicę	flaga|flaga w kratkę|flaga w szachownicę|sport|wyścigi
🏂	snowboardzista	snowboard|snowboardzista|sport|zima
🏃	biegnąca osoba	bieg|biegacz|biegaczka|bieganie|biegnąca|maraton|osoba|pośpiech|sport|szybko|w ruchu
🏄	surfująca osoba	deska|fala|morze|ocean|osoba|sport|surfer|surferka|surfing|surfująca
🏅	medal sportowy	medal|medal sportowy|nagroda|sport|zawody
🏆	puchar	nagroda|puchar|sport|trofeum|zwycięstwo
🏇	wyścigi konne	dżokej|jeździec|koń|konne|sport|wyścigi|zawody
🏈	futbol amerykański	amerykański|do futbolu amerykańskiego|futbol|piłka|sport
🏉	piłka do rugby	do rugby|piłka|rugby|sport
🏊	pływająca osoba	basen|kraulem|na basenie|osoba|pływająca osoba|pływak|pływanie|sport|triathlon|woda|zawody
🏏	krykiet	do krykieta|kij|krykiet|piłka|sport
🏐	siatkówka	do siatki|do siatkówki|piłka|siatka|siatkowa|siatkówka|sport
🏑	hokej na trawie	boisko|hokej|kijek|mecz|na trawie|piłka|sport
🏒	hokej na lodzie	hokej|kijek|krążek|lód|na lodzie|sport|zima
🏓	tenis stołowy	paletka|piłeczka|ping|pingpong|pong|rakietka|sport|stołowy|tenis
🏠	dom	budynek|dom|mieszkalny
🏡	dom z ogrodem	budynek|dom|dom z ogrodem|drzewo|ogród
🏢	biurowiec	biurowiec|blok|budynek
🏣	japońska poczta	budynek|japońska poczta|poczta
🏤	urząd pocztowy	budynek|poczta|urząd pocztowy
🏥	szpital	budynek|lecznica|lekarz|medycyna|szpital
🏦	bank	bank|budynek
🏧	znak bankomatu	ATM|bankomat|pieniądze|znak bankomatu
🏨	hotel	budynek|hotel
🏩	hotel miłości	budynek|hotel|hotel miłości|japoński hotel miłości|miłość|serce
🏪	sklep całodobowy	budynek|sklep|sklep całodobowy
🏫	szkoła	budynek|szkoła|zegar
🏬	dom towarowy	budynek|dom towarowy|sklep|supermarket
🏭	fabryka	budynek|fabryka|produkcyjny|zakład pracy
🏮	czerwony lampion	bar izakaya|czerwony lampion|izakaya|japonia|lampa|lampion
🏯	japoński zamek	budynek|japoński|zamek
🏰	zamek	budynek|europejski|średniowiecze|zamek
🏴	czarna flaga	czarna flaga|flaga|na wietrze|żałoba
🏸	badminton	badminton|gra|lotka|paletki|rakieta|sport|zabawa
🏹	łuk i strzała	broń|łucznik|łuk|łuk i strzała|narzędzie|strzała|strzelec|zodiak
🏺	amfora	amfora|dzban|puchar|stągiew|waza|wodnik|zodiak
🐀	szczur	gryzoń|mysz|szczur|szczurek|zwierzę
🐁	mysz	mysz|myszka|zwierzę
🐂	wół	byk|krowa|wół|zodiak|zwierzę
🐃	wół domowy	bawół|wół|zwierzę
🐄	krowa	krowa|krówka|łaty|mleko|zwierzę
🐅	tygrys	paski|tygrys|tygrysek|zwierzę
🐆	lampart	cętki|drapieżnik|dziki|kot|lampart|zwierzę
🐇	królik	króliczek|królik|zając|zwierzę
🐈	kot	kot|kotek|zwierzę
🐈‍⬛	czarny kot	czarny|kot|nieszczęście|pech|przesąd|zabobon|zwierzę
🐉	smok	bajka|baśń|fantasy|legenda|smok|zwierzę
🐊	krokodyl	aligator|gad|jaszczur|krokodyl|zwierzę
🐋	wieloryb	morze|ocean|wieloryb|zwierzę
🐌	ślimak	mięczak|muszla|powolny|ślimak|wolny|zwierzę
🐍	wąż	dusiciel|jadowity|wąż|żmija|zwierzę
🐎	koń	koń|konne|wierzchowiec|wyścigi|wyścigowy|zwierzę
🐏	biały baran	baran|baranek|owca|rogaty|rogi|zodiak|zwierzę
🐐	koza	koza|koziorożec|kózka|rogi|zodiak|zwierzę
🐑	owca	baran|baranek|biały|owca|owieczka|rogaty|rogi|Wielkanoc|zwierzę
🐒	małpa	małpa|małpka|zwierzę
🐓	kogut	kogut|ornitologia|ptak|zwierzę
🐔	kura	głowa|kogut|kura|kurczak|ptak|zwierzę
🐕	pies	pies|piesek|psiaczek|psinka|zwierzę
🐕‍🦺	pies pomocnik	dostępność|opiekun|pies|pomoc|pomocnik|zwierzę
🐖	świnia	świnia|świnka|zwierzę
🐗	dzik	dzik|dzika|głowa|knur|las|świnia|zwierzę
🐘	słoń	słoń|trąba|zwierzę
🐙	ośmiornica	macki|morze|ocean|osiem|ośmiornica|zwierzę
🐚	muszla spiralna	morze|muszelka|muszla|muszla spiralna|plaża|spirala|zwierzę
🐛	gąsienica	gąsienica|owad|robak|zwierzę
🐜	mrówka	mrówka|owad|zwierzę
🐝	pszczoła	owad|pszczoła|pszczółka|wiosna|zwierzę
🐞	biedronka	biedronka|chrabąszcz|chrząszcz|kropki|owad|w kropki|żuk|zwierzę
🐟	ryba	morze|ocean|ryba|rybka|ryby|woda|zodiak|zwierzę
🐠	ryba tropikalna	morze|ryba|rybka|tropikalna|tropiki|woda|zwierzę
🐡	ryba rozdymka	morze|ocean|rozdymka|ryba|zwierzę
🐢	żółw	powolny|skorupa|żółw|zwierzę
🐣	wykluwające się kurczątko	kura|kurczaczek|kurczak|kurczątko|pisklak|ptak|wykluwać się|wykluwające się kurczątko|zwierzę
🐤	kurczątko	kura|kurczaczek|kurczak|kurczątko|pisklak|ptak|zwierzę
🐥	kurczątko od przodu	kura|kurczaczek|kurczak|kurczątko od przodu|pisklak|pisklę|ptak|zwierzę
🐦	ptak	ornitologia|ptak|zwierzę
🐦‍⬛	czarny ptak	czarny|dziób|gawron|krakanie|kruk|krukowate|ptak|wrona|zwierzę
🐦‍🔥	feniks	feniks|mityczny|nieśmiertelność|odrodzenie|ognisty|powstać|ptak|reinkarnacja|z popiołów
🐧	pingwin	antarktyda|pingwin|ptak|zwierzę
🐨	koala	australia|buźka|eukaliptus|głowa|koala|miś|zwierzę
🐩	pudel	biały|ostrzyżony|pies|piesek|pudel|pudelek|zwierzę
🐪	wielbłąd	dromader|garb|jednogarbny|pustynia|wielbłąd|zwierzę
🐫	wielbłąd dwugarbny	baktrian|dwugarbny|garb|garby|pustynia|wielbłąd|zwierzę
🐬	delfin	delfin|morze|ocean|zwierzę
🐭	głowa myszy	buźka|głowa|głowa myszy|mysz|myszka|zwierzę
🐮	głowa krowy	buźka|głowa|krowa|krówka|krowy|łaty|mleko|zwierzę
🐯	głowa tygrysa	buźka|głowa|kot|paski|pyszczek|tygrys|tygrysa|tygrysek|zwierzę
🐰	głowa królika	buźka|futrzak|głowa|króliczek|królik|królika|zając|zająca|zwierzę
🐱	głowa kota	buźka|głowa|kicia|kot|kota|kotek|pyszczek|zwierzę
🐲	głowa smoka	bajka|baśń|fantasy|głowa|magia|smok|smoka|zwierzę
🐳	wieloryb tryskający wodą	fontanna|morze|ocean|strumień|tryskający wodą|wieloryb|woda|wody|zwierzę
🐴	głowa konia	głowa|koń|konia|konik|końska|koński|łeb|zwierzę
🐵	głowa małpy	buźka|głowa|głowa małpy|małpka|zwierzę
🐶	głowa psa	buźka|głowa|głowa psa|pies|piesek|psiaczek|pysk|pyszczek|szczeniaczek|zwierzę
🐷	głowa świni	buźka|głowa|ryjek|świni|świnia|świnka|zwierzę
