⌚	наручные часы	время|запястье|наручные|рука|часы
🍂	падающие листья	листопад|листья|осень|падающие листья
🍃	листья на ветру	ветер|листопад|листья|листья на ветру
🍄	гриб	гриб|мухомор|несъедобный|поганка|ядовитый
🍄‍🟫	бурый гриб	бурый гриб|вегетарианство|веги|гриб|грибок|грибочек|грибы|еда|овощ|природа
🍅	помидор	овощ|помидор|томат|ягода
🍆	баклажан	баклажан|овощ|синенькие|синенький
🍇	виноград	ветвь винограда|виноград|виноградина|сок|фрукт
🍈	дыня	дыня|растение|фрукт|ягода
🍉	арбуз	арбуз|растение|фрукт|ягода
🍊	мандарин	апельсин|клементин|мандарин|фрукт|цитрус|цитрусовый
🍋	лимон	кислый|лимон|фрукт|цитрус|цитрусовый
🍋‍🟩	лайм	зеленый|кислота|коктейль|лайм|маргарита|мохито|сок|текила|тропический|фрукт|цитрус|цитрусовый
🍌	банан	банан|фрукт
🍍	ананас	ананас|фрукт
🍎	красное яблоко	зрелое|красное|фрукт|яблоко
🍏	зеленое яблоко	зеленое|фрукт|яблоко
🍐	груша	груша|фрукт
🍑	персик	нектарин|персик|фрукт
🍒	вишня	вишни|вишня|дерево|плоды|фрукт|черешни|черешня
🍓	клубника	земляника|клубника|ягода
🍔	гамбургер	бургер|бутерброд|гамбургер|сэндвич|фастфуд
🍕	пицца	кусок|кусок пиццы|перекус|пицца|сыр
🍖	мясо на косточке	кость|мясо|мясо на косточке|рулька
🍗	куриная ножка	еда|кость|куриная ножка|курица|нога|окорочок|птица
🍘	рисовый крекер	крекер|рис|рисовый крекер
🍙	онигири	онигири|рис|рисовый шар|рисовый шарик|шарик|япония
🍚	рис	вареный|гарнир|еда|миска|обед|плошка|рис|тарелка|чашка
🍛	рис с карри	карри|обед|рис|рис с карри
🍜	лапша	доширак|лапша|локшина|миска|обед|пар|чашка
🍝	спагетти	вермишель|лапша|макаронные изделия|макароны|паста|спагетти
🍞	хлеб	батон|буханка|хлеб
🍟	картофель фри	картофель|картошка|фастфуд|фри
🍠	печеный сладкий картофель	батат|картофель|картошка|печеный сладкий картофель|сладкий картофель
🍡	данго	данго|десерт|конфета|леденец|мороженое на палочке|на палочке|сладости|сладость|японский
🍢	одэн	закуска|на палочке|одэн|шашлык|шашлычок из морепродуктов
🍣	суши	кухня|суши|япония
🍤	жареная креветка	жареная креветка|креветка|креветки|темпура
🍥	камабоко	камабоко|начинка|рыба|рыбная котлета|сурими|юла
🍦	мороженое в стаканчике	ванильное мороженое|вафельный стаканчик|вафля|десерт|мороженое|мороженое в стаканчике|мягкое мороженое|рожок
🍧	мороженое в креманке	десерт|креманка|мороженое|мороженое в креманке|строганый лед
🍨	мороженое	десерт|мороженое|сладкое|холодное
🍩	пончик	глазурь|пирожок|пончик|сладкое
🍪	печенье	выпечка|десерт|печенье|сладкое|сладость
🍫	шоколад	десерт|какао|плитка шоколада|сладость|шоколад|шоколадка
🍬	конфета	конфета|леденец|обертка|сладкая|сладость|фантик
🍭	леденец	конфета|конфета на палочке|леденец|леденец на палочке|на палочке|палочка|радуга|сладкий|сладость
🍮	пудинг	десерт|пудинг|сладкий
🍯	мед	бочонок|бочонок меда|горшок|горшок с медом|мед
🍰	кусочек торта	выпечка|десерт|крем|кусочек торта|сладкая|торт
🍱	бэнто	бенто|бизнес ланч|бэнто|коробка с суши и рисом|обед
🍲	кастрюля с горячей едой	горячая еда|горячее|кастрюля|кастрюля с горячей едой|обед|первое|суп|тарелка с горячей едой
🍳	яичница на сковороде	глазунья|жарить|желток|завтрак|сковорода|яичница|яйцо
🍴	вилка и нож	вилка|еда|завтрак|нож|обед|перекус|прибор|ресторан|ужин
🍵	чашка без ручки	зеленый|чай|чашка|чашка без ручки|чашка зеленого чая|чашка чая
🍶	бутылка саке	бутылка саке|водка|выпивать|горячее|саке|япония
🍷	бокал вина	алкоголь|бокал|бокал вина|вино|красное вино
🍸	коктейль	бар|бокал|коктейль|напиток
🍹	тропический коктейль	зонтик|напиток|прохладительный|соломинка|тропики|тропический коктейль
🍺	кружка пива	кружка|кружка пива|пена|пенное|пивная кружка|пиво
🍻	чокающиеся кружки	бар|выпивать|кружки пива|пенное|пивные кружки|пиво|тост|чокающиеся кружки|чокнуться
🍼	бутылочка с соской	бутылка|бутылочка с соской|дети|кормить|молоко|новорожденный|прикорм|сосать|соска
🍾	шампанское	бутылка|вино|игристое|отмечать|праздновать|пробка|шампанское
🍿	попкорн	кукуруза|попкорн|стакан
🎀	бантик	бант|бантик|волосы|лента|одежда|праздник
🎁	подарок	бант|бантик|год|день|коробка|новый|подарок|праздник|рождения|Рождество
🎂	торт ко дню рождения	выпечка|день рождения|отмечать|пирог|праздник|с днем рождения|свечи|свечки|сладкое|торт|торт ко дню рождения
🎃	тыква-фонарь	праздник|тыква|тыква-фонарь|фонарь из тыквы|Хеллоуин|Хэллоуин
🎄	новогодняя елка	елка|новогодняя елка|Новый год|праздник|Рождество
🎅	Санта-Клаус	дед мороз|дедушка мороз|клаус|новый год|рождество|санта|санта-клаус
🎆	фейерверк	пиротехника|праздник|салют|свет|фейерверк|шум
🎇	бенгальский огонь	бенгальский огонь|искры|новый год|огонь|праздник|салют
🎈	воздушный шарик	веревочка|воздух|воздушный|праздник|шарик
🎉	хлопушка	бабах|веселье|вечеринка|день рождения|мишура|поздравление|праздник|хлопушка
🎊	конфетти	вечеринка|конфетти|праздник
🎋	бамбук с бумажными лентами	бамбук|бамбук с бумажными лентами|бумага|дерево|лента|танабата|традиция|Япония
🎌	скрещенные флаги	два|скрещенные|флага|флаги|Япония|японских
🎍	украшенный бамбук	бамбук|Новый год|растение|Рождество|сосна|украшенный бамбук|Япония
🎎	японские куклы	две|кукла|праздник|фестиваль|японские куклы
🎏	вымпелы в виде карпов	вымпелы|вымпелы в виде карпов|карпы|палочка|рыбки|рыбы
🎐	музыка ветра	бубенчик|ветер|звон|музыка ветра
🎑	праздник Луны	луна|праздник|праздник Луны|церемония
🎒	ранец	портфель|ранец|рюкзак|школа
🎓	шапочка выпускника	бонет|выпускник|выпускной|конфедератка|шапочка|шапочка выпускника
🎠	лошадь на карусели	аттракцион|карусель|лошадка|лошадь
🎡	колесо обозрения	аттракцион|веселье|обозрения|чертово
🎢	американские горки	американские|аттракцион|горка|горки
🎣	удочка с рыбой	крючок|леска|наживка|рыба|рыбалка|спининг|удочка|удочка с рыбой|улов
🎤	микрофон	звук|караоке|микрофон|пение
🎥	кинокамера	видеокамера|камера|кино|кинокамера|снять|съемка|фильм
🎦	видеозапись	видео|видеозапись|видеокамера|дубль|запись|камера|кино|кинокамера|телевидение|фильм
🎧	наушники	вкладыши|гарнитура|затычки|звук|капли|музыка|наушники
🎨	палитра с красками	краски|палитра|палитра с красками|рисовать|творить|художник
🎩	цилиндр	магия|мужчина|одежда|фокус|цилиндр|черная|черный|шляпа
🎪	цирковой шатер	цирк|цирковой|шапито|шатер
🎫	билет	билет|билетик|вход|квиток|концерт|пропуск|самолет|театр|транспорт|услуги
🎬	хлопушка-нумератор	дубль|кино|киносъемки|нумератор|нумератор с хлопушкой|снято|сцена|хлопушка|хлопушка-нумератор
🎭	маски	драма|искусство|комедия|маски|постановка|премьера|театр|шекспир
🎮	видеоигры	play|playstation|station|видеоигры|игры|компьютер|компьютерные|приставка
🎯	мишень	дартс|доска|дротик|мишень|попадание
🎰	игровой автомат	автомат|азарт|деньги|игровой|игры|казино
🎱	бильярд	8|бильярд|восьмерка|игра|пул|черный шар|шар
🎲	игральная кость	игра|игральная кость|кости|кубик|кубики
🎳	боулинг	боулинг|игра|кегли|спорт|страйк|шар|шары
🎴	цветочная карта	игра|карты|ханафуда|цветочная|цветы|Япония
🎵	нота	звук|мелодия|музыка|нота
🎶	ноты	звуки|мелодия|музыка|ноты
🎷	саксофон	инструмент|музыка|музыкальный инструмент|саксофон
🎸	гитара	гитара|гитарист|инструмент|концерт|музыка|музыкальный|рок
🎹	клавишные	инструмент|клавиши|клавишные|музыка|музыкальный инструмент|пианино|рояль|синтезатор
🎺	труба	духовой инструмент|инструмент|музыка|музыкальный инструмент|труба
🎻	скрипка	инструмент|музыка|музыкальный инструмент|скрипка|смычковый|смычок|струнный инструмент|струны
🎼	нотный стан	ключ|музыка|нотный стан|ноты|скрипичный|стан
🎽	футболка для бега	атлетика|бег|спорт|футболка|футболка для бега
🎾	теннис	игра|мяч|мячик|ракетка|спорт|теннис|теннисная|теннисный
🎿	лыжи	горные лыжи|горы|лыжи|склон|снег|спорт|трасса
🏀	баскетбол	баскетбол|баскетбольный|игра|кольцо|мяч|спорт
🏁	клетчатый флаг	в|гонка|гонки|клетку|клетчатый|финиш|флаг|черно-белый
🏂	сноубордист	горы|склон|снег|сноуборд|сноубордист|спорт|спортсмен
🏃	человек бежит	бег|бежит|марафон|спорт|трусцой|человек
🏄	серфинг	вода|волны|доска|серфинг|спорт
🏅	спортивная медаль	достижение|медаль|место|победа|спорт|спортивная медаль
🏆	кубок	кубок|победа|приз|трофей|чемпион
🏇	скачки	бега|жокей|ипподром|конный|конь|лошади|скачки|спорт|ставки|тотализатор
🏈	американский футбол	американский|игра|мяч|спорт|футбол
🏉	регби	игра|мяч|регби|спорт
🏊	плавание	бассейн|вода|водный спорт|море|плавание|пловец|плыть|спорт|спортсмен
🏏	крикет	бита|игра|крикет|мяч|спорт
🏐	волейбол	волейбол|волейбольный|игра|мяч|спорт
🏑	хоккей на траве	бег|игра|клюшка|трава|хоккей|хоккей на траве
🏒	хоккей	игра|клюшка|лед|спорт|хоккей|шайба
🏓	настольный теннис	мяч|мячик|настольный теннис|пинг-понг|ракетка|стол|теннис|шарик
🏠	дом	дача|дом|домашний|здание|родной|стены
🏡	дом с садом	дача|дом|загородный|крыша|сад|стены|усадьба
🏢	офисное здание	бизнес-центр|здание|офис|офисное|работа
🏣	японская почта	здание|почта|Япония|японская|японское
🏤	почта	европа|здание|почта
🏥	больница	больница|госпиталь|здание|лечение|поликлиника|помощь|скорая|стационар|хоспис
🏦	банк	банк|деньги|здание
🏧	значок банкомата	банкомат|выдача|деньги|значок банкомата|наличные|терминал
🏨	гостиница	гостиница|здание|отель|хостел
🏩	гостиница для свиданий	гостиница|дом|здание|отель|публичный|свидания
🏪	круглосуточный магазин	24 часа|здание|круглосуточный магазин|магазин|покупки|сутки
🏫	школа	здание|колледж|обучение|учебное|школа
🏬	универмаг	здание|магазин|супермаркет|торговый|универмаг|универсам|центр
🏭	завод	завод|предприятие|промышленность|фабрика
🏮	красный бумажный фонарик	бумага|бумажный|китай|китайский фонарик|красный|огонь|свет|фонарик|фонарь
🏯	японский замок	замок|здание|япония|японский замок
🏰	замок	башни|замок|крепость|укрепение|форт
🏴	черный флаг	реет|флаг|черный
🏸	бадминтон	бадминтон|волан|воланчик|игра|ракетка|спорт
🏹	лук со стрелой	знак зодиака|лук со стрелой|оружие|стрелец|стрелы
🏺	амфора	амфора|кувшин|сосуд
🐀	крыса	грызун|крыса
🐁	мышь	белая мышь|грызун|крыса|мышка|мышонок|мышь|хвост
🐂	бык	бык|гороскоп|животное|знак|зодиак|телец
🐃	буйвол	буйвол|животное|зверь|зоопарк|рога
🐄	корова	животное|корова|молоко|рога|ферма
🐅	тигр	животное|зверь|зоопарк|кошка|тигр|хищник
🐆	леопард	гепард|животное|зверь|зоопарк|кошка|леопард|хищник
🐇	кролик	белый|домашнее|животное|зайчик|заяц|кролик
🐈	кошка	животное|кот|котенок|кошка|питомец
🐈‍⬛	черная кошка	кот|кошка|мяу|несчастье|неудача|плохая|примета|черная|черный
🐉	дракон	голова|дракон|зеленый дракон|змея|морда|сказка|фентези|фэнтези
🐊	крокодил	аллигатор|зеленый|крокодил
🐋	кит	животное|кит|океан
🐌	улитка	медленно|ползти|раковина|улитка
🐍	змея	гадюка|змееносец|змея|знак|зодиак|опасность|яд
🐎	лошадь	жеребец|животное|конь|лошадь|скаковая|скакун|скачки
🐏	баран	баран|гороскоп|животное|знак|зодиак|овен|рога
🐐	коза	животное|знак зодиака|зодиак|коза|козел|козерог
🐑	овца	баран|жвачное|животное|овца|парнокопытное|рога|ферма|шерсть|ягненок|ягнятина
🐒	обезьяна	животное|обезьяна
🐓	петух	гребешок|петух|петушок|птица
🐔	курица	голова|курица|петух|птица|цыпленок
🐕	собака	животное|пес|питомец|собака|щенок
🐕‍🦺	служебная собака	инвалид|поиск|поисковая|помощь|собака
🐖	свинья	бекон|животное|свинья|ферма|хрюшка
🐗	кабан	голова|дикий|животное|кабан|клыки
🐘	слон	животное|слон|хобот
🐙	осьминог	океан|осьминог|спрут|щупальца
🐚	раковина	моллюск|раковина|ракушка|спираль|улитка
🐛	гусеница	гусеница|жук|многоножка|насекомое|сороконожка
🐜	муравей	муравей|насекомое
🐝	пчела	жало|желто-черная|мед|насекомое|природа|пчела
🐞	божья коровка	божья|жук|жучок|коровка|насекомое|природа|сад
🐟	рыба	гороскоп|знак зодиака|зодиак|рыба|рыбалка|рыбы
🐠	тропическая рыба	рыба|тропики|тропическая рыба|экзотическая
🐡	рыба-еж	еж|иголки|рыба|рыба-еж
🐢	черепаха	зеленая|черепаха
🐣	цыпленок в яйце	вылупился|желтый|цыпленок|цыпленок в яйце|яйцо
🐤	цыпленок боком	голова|голова цыпленка|клюв|маленький|цыпленок|цыпленок боком
🐥	цыпленок	крылья|курица|маленький|цыпленок
🐦	птица	голова|голубь|птица
🐦‍⬛	черная птица	ворон|ворона|врановый|грач|каркать|клюв|птица|черная птица|черный|чёрный
🐦‍🔥	феникс	возрождение|восстать|заново|огненная птица|птица феникс|реинкарнация|сказка|сказочная птица|феникс
🐧	пингвин	антарктика|арктика|голова|животное|зоопарк|пингвин|птица
🐨	морда коалы	австралия|животное|коала|медведь|морда|морда коалы|эвкалипт
🐩	пудель	домашнее животное|животное|порода|пудель|собака
🐪	одногорбый верблюд	верблюд|горб|дромадер|один|одногорбый верблюд|пустыня
🐫	двугорбый верблюд	бактриан|верблюд|горб|двугорбый верблюд|жвачное|животное|один|парнокопытное|пустыня
🐬	дельфин	вода|дельфин|море|океан|пляж
🐭	морда мыши	грызун|морда|морда мыши|мышка|мышь
🐮	морда коровы	животное|корова|коровья|морда|му|рога
🐯	морда тигра	животное|зверь|морда|тигр|тигренок|тигриная
🐰	морда кролика	домашнее|животное|зайчик|кролик|морда|морда кролика
🐱	морда кошки	животное|кот|кошачья|кошка|морда|питомец
🐲	голова дракона	голова дракона|дракон|морда|морда дракона|сказка|фентези|фэнтези
🐳	кит с фонтанчиком	брызги|вода|кит|кит с фонтанчиком
🐴	морда лошади	конь|лошадиная|лошадь|морда
🐵	морда обезьяны	животное|морда|обезьяна|обезьянья
🐶	морда собаки	животное|морда|пес|собака|собачья
🐷	морда свиньи	бекон|животное|морда|поросенок|пятачок|сало|свинина|свинья|хрюшка
🐸	голова лягушки	голова|голова лягушки|жаба|зеленая|лягушка|морда
🐹	морда хомяка	домашнее животное|животное|морда|морда хомяка|мордочка|мышь|хомяк
🐺	морда волка	волк|волчья|животное|морда|собака
🐻	морда медведя	бурый|животное|медведь|морда|морда медведя
🐼	морда панды	животное|медведь|морда|морда панды|панда
🐽	свиной пятачок	морда|поросенок|пятак|пятачок|свинья|хрю|хрюшка
🐾	следы животного	животное|лапы|отпечатки|следы|следы животного
👀	глаза	глаза|два|наблюдать|подглядывать|смотреть|тело|человек
👂	ухо	звук|подслушивать|слушать|слышать|тело|ухо|человек
👃	нос	нос|тело|человек
👄	рот	алые|губы|зубы|красные|накрашенные губы|помада|рот
👅	язык	розовый|рот|язык
👆	указывающий вверх палец	вверх|выше|жест|наверх|направление|палец|рука|тыльная|указательный|указывать|указывающий
👇	указывающий вниз палец	вниз|жест|направление|ниже|палец|рука|тыльная|указательный|указывать|указывающий
👈	указывающий налево палец	влево|жест|налево|направление|палец|рука|тыльная|указательный|указывать|указывающий
👉	указывающий направо палец	вправо|жест|направление|направо|палец|рука|тыльная|указательный|указывать|указывающий
👊	кулак	бокс|боксировать|бро|кулак|кулачок|опасность|рука|удар
👋	машет рукой	взмах|привет|приветствие|прощание|рука
👌	жест «все хорошо»	жест|ок|окей|отлично|рука|хорошо|ясно
👍	большой палец вверх	вверх|договорились|жест|лайк|нравится|одобрение|отлично|палец|рука|супер|хорошо
👎	большой палец вниз	бу|вниз|недоволен|недовольна|нет|палец|плохо|порицание|рука|фу
👏	аплодисменты	аплодисменты|движение|жест|овация|рука|хлопать
👐	ладони в стороны	врозь|ладони|открытые|рука|руки
👑	корона	голова|королева|король|корона|монарх|царица|царство|царь
👒	шляпка	женская|женщина|летняя|одежда|шляпа|шляпка
👓	очки	аксессуар|глаза|защита|зрение|одежда|очки
👔	галстук	галстук|одежда|офис|работа|рубашка|серьезный|сотрудник
👕	футболка	короткие|одежда|рубашка|рукава|футболка
👖	джинсы	брюки|джинсы|штаны
👗	платье	женская одежда|женское|одежда|платье
👘	кимоно	кимоно|одежда|традиции|япония
👙	бикини	бассейн|бикини|купальник|море|отпуск|плавать
👚	блузка	блузка|женщина|одежда|платье|розовая|футболка
👛	кошелек	аксессуар|деньги|кошелек|мелочь|сумка|сумочка
👜	сумка	женская|сумка|сумочка
👝	клатч	аксессуар|багаж|вещи|женское|клатч|мешок|саквояж|сумочка|театр|чедоман
👞	ботинок	ботинки|ботинок|мужская|мужчина|обувь|туфли|туфля
👟	кроссовки	бег|кеды|кроссовки|обувь|побежать|пробежка|спорт
👠	туфли на каблуке	женщина|каблук|на каблуке|обувь|стиль|туфли|туфли на каблуке
👡	босоножки	босоножки|женская|женщина|каблук|лето|обувь|сабо|сандалии
👢	сапог	высокая|женская|каблук|обувь|одежда|сапог|сапоги|холодно|шоппинг
👣	следы	нога|подошва|рельеф|след|следы|человек
👤	силуэт человека	бюст|лицо|силуэт|таинственный|тайна|тень|человек
👥	два силуэта	бюст|головы|двое|лицо|люди|силуэт|темный|тень
