⌚	orologio	orologio|orologio da polso|tempo
♿	simbolo della disabilità	accesso|accesso sedia a rotelle|disabile|sedia a rotelle|simbolo|simbolo della disabilità|simbolo sedia a rotelle
⚓	ancora	ancora|mare|marina|marinaio|nave|simbolo
⚡	alta tensione	alta|fulmine|pericolo|simbolo|tensione|tuono
⚪	cerchio bianco	bianco|cerchio|cerchio bianco grande|geometria
⚫	cerchio nero	cerchio|cerchio nero grande|geometria|nero
⚽	pallone da calcio	calcetto|calcio|palla|pallone|pallone da calcio|sport
⚾	palla da baseball	baseball|battitore|guantone|mazza|palla da baseball|ricevitore|sport
⛄	pupazzo di neve senza neve	inverno|natura|neve|pupazzo|pupazzo di neve|pupazzo di neve senza neve
⛅	sole coperto	meteo|natura|nuvola|sole|sole con nuvole|sole coperto|variabile
⛎	Segno zodiacale dell’Ofiuco	Ofiuco|segno zodiacale|Segno zodiacale dell’Ofiuco|zodiaco
⛔	segnale di divieto di accesso	accesso|divieto|divieto di accesso|proibito|segnale di divieto di accesso|simbolo|stop|vietato
⛪	chiesa	cappella|cattedrale|chiesa|cristianesimo|croce|edificio|religione
⛲	fontana	acqua|acqua che scorre|fontana
⛳	bandiera in buca	bandiera golf|bandiera in buca|bandierina|buca|golf
⛵	barca a vela	barca|barca a vela|località balneare|mare|sport|vacanza|vela|yacht
⛺	tenda	accampamento|campeggio|tenda
⛽	stazione di servizio	benzina|carburante|fare il pieno|pieno|pompa di benzina|stazione|stazione di servizio
✅	pulsante segno di spunta	baffo|fatto|pulsante segno di spunta|segno di spunta|segno di spunta grande|spunta
✊	pugno	alzato|lotta|mano|pugno|pugno chiuso|sasso|solidarietà
✋	mano alzata	alzata|carta|cinque|mano|mano aperta
✨	stelline	scintille|spendente|stelle|stelline
❌	croce	croce|croce rossa|moltiplicazione|X
❎	croce con quadrato	croce con quadrato|croce verde|moltiplicazione|X con quadrato
❓	punto interrogativo rosso	?|domanda|punteggiatura|punto di domanda|punto di domanda pieno|punto interrogativo|punto interrogativo rosso
❔	punto interrogativo bianco	?|domanda|punteggiatura|punto di domanda|punto di domanda vuoto|punto interrogativo|punto interrogativo bianco|punto interrogativo grigio
❕	punto esclamativo bianco	!|esclamazione|punteggiatura|punto esclamativo|punto esclamativo bianco|punto esclamativo grigio|punto esclamativo vuoto
❗	punto esclamativo rosso	esclamazione|punteggiatura|punto esclamativo|punto esclamativo pieno|punto esclamativo rosso
➕	addizione	+|addizione|croce|matematica|più|segno|segno di addizione
➖	sottrazione	-|matematica|meno|segno|segno di sottrazione|sottrazione|trattino
➗	divisione	÷|divisione|diviso|matematica|segno|segno di divisione
➰	occhiello	cerchio|nodo|occhiello
➿	doppio occhiello	doppio|occhiello
⬛	quadrato nero grande	geometria|quadrato|quadrato nero grande
⬜	quadrato bianco grande	geometria|quadrato|quadrato bianco grande
⭐	stella	astro|natura|stella|stella gialla|stellina
⭕	cerchio rosso vuoto	cerchio|cerchio rosso vuoto|gioco|pallino|tris
🀄	tessera Mahjong	drago|drago rosso|Mahjong|tessera
🃏	jolly	carta|carta da gioco|gioco|Joker|jolly
🆎	gruppo sanguigno AB	AB|gruppo AB|gruppo sanguigno AB
🆑	pulsante CL	bottone|CL|pulsante|simbolo
🆒	pulsante COOL	cool|pulsante|simbolo|tasto
🆓	pulsante FREE	free|gratis|libero|pulsante|simbolo|tasto
🆔	pulsante ID	ID|identità|pulsante ID|simbolo ID
🆕	pulsante NEW	new|nuovo|pulsante|simbolo|tasto
🆖	pulsante NG	NG|pulsante|simbolo NG|tasto
🆗	pulsante OK	OK|pulsante|simbolo|tasto
🆘	pulsante SOS	aiuto|pulsante SOS|Segnale di SOS|simbolo di SOS|simbolo SOS|soccorsi|soccorso|SOS
🆙	pulsante UP!	alto|in alto|pulsante|simbolo UP!|sù|tasto UP!|UP!
🆚	pulsante VS	contro|pulsante|simbolo contro|tasto|versus|vs
🈁	ideogramma giapponese per “Qui”	giapponese|katakana|parola|pulsante|qui|simbolo|tabelloni|tasto|ココ
🈚	ideogramma giapponese di “Gratis”	giapponese|gratis|ideogramma|ideogramma giapponese di “Gratis”|negazione
🈯	ideogramma giapponese di “Riservato”	direzione|dito|giapponese|ideogramma|ideogramma giapponese di “Riservato”|indicare|riservato
🈲	ideogramma giapponese di “Proibito”	giapponese|ideogramma|ideogramma giapponese di “Proibito”|proibito
🈳	ideogramma giapponese di “Posto libero”	cinese|disponibilità|giapponese|ideogramma|ideogramma giapponese di “Posto libero”|libero|posto libero|vuoto
🈴	ideogramma giapponese di “Voto di sufficienza”	cinese|giapponese|ideogramma|ideogramma giapponese di “Voto di sufficienza”|insieme|sufficienza
🈵	ideogramma giapponese di “Nessun posto libero”	cinese|giapponese|ideogramma|ideogramma giapponese di “Nessun posto libero”|nessun posto libero|pienezza|pieno
🈶	ideogramma giapponese di “A pagamento”	esistere|giapponese|ideogramma|ideogramma giapponese di “A pagamento”
🈸	ideogramma giapponese di “Candidatura”	applicare|candidarsi|cinese|giapponese|ideogramma|ideogramma giapponese di “Candidatura”
🈹	ideogramma giapponese di “Sconto”	dividere|giapponese|ideogramma|ideogramma giapponese di “Sconto”|prezzo scontato|sconto
🈺	ideogramma giapponese di “Aperto al pubblico”	aperto|aperto al pubblico|aperto per affari|cinese|giapponese|ideogramma|ideogramma giapponese di “Aperto al pubblico”|ideogramma in funzione|in funzione
🉐	ideogramma giapponese di “Occasione”	giapponese|ideogramma|ideogramma giapponese di “Occasione”|vantaggio
🉑	ideogramma giapponese di “Accettabile”	accettabile|accettare|cinese|giapponese|ideogramma|ideogramma giapponese di “Accettabile”
🌀	ciclone	ciclone|mal di mare|meteo|nausea|spirale|tifone|tornado|vento
🌁	nebbioso	clima|meteo|montagna con la nebbia|nebbia|nebbioso
🌂	ombrello chiuso	meteo|ombrello chiuso|pioggia|piovere
🌃	notte stellata	cielo|città|città di notte|luna|notte|notte stellata|stelle
🌄	alba sulle montagne	alba|alba sulle montagne|montagna|montagne|paesaggio|sole|sole che sorge|tramonto
🌅	alba	alba|finestra|mattino|natura|sole|sole che sorge
🌆	città al tramonto	città|città al tramonto|edifici|paesaggio|tramonto
🌇	tramonto	città|skyline|sole che tramonta sulla città|tramonto
🌈	arcobaleno	arcobaleno|bisessuale|colori|gay|lesbica|lgbt|meteo|natura|omosessuale|pace|pioggia|transgender
🌉	ponte di notte	Golden Gate|notte|paesaggio|ponte|ponte di notte|San Francisco
🌊	onda	acqua|la grande onda|mare|natura|oceano|onda|onda d’acqua|onda del mare|surf
🌋	vulcano	eruzione|etna|Etna|lava|natura|Vesuvio|vulcano|vulcano in eruzione
🌌	Via Lattea	lattea|nebulosa|notte|spazio|stelle|Via Lattea
🌍	Europa e Africa	Africa|Europa|Europa e Africa|globo|mappamondo|natura|pianeta|terra
🌎	America	America|Americhe|globo|mappamondo|natura|pianeta|terra
🌏	Asia e Australia	Asia|Asia e Australia|Australia|globo|mappamondo|natura|pianeta|terra|Terra
🌐	globo con meridiani	globo|globo con meridiani|meridiani
🌑	luna nuova	cielo|luna|luna nera|natura|notte|novilunio|nuova
🌒	luna crescente	buona notte|crescente|luna|mezza luna|natura|notte|quarto di luna|sogni|spicchio di luna
🌓	primo quarto di luna	luna|natura|notte|primo quarto di luna|quarto
🌔	luna gibbosa crescente	crescente|gibbosa|luna|natura|notte
🌕	luna piena	luna|natura|notte|piena|plenilunio
🌖	luna gibbosa calante	calante|gibbosa|luna|luna quasi pieni|natura|notte
🌗	ultimo quarto di luna	luna|metà|natura|notte|quarto|spazio|ultimo quarto di luna
🌘	luna calante	calante|luna|natura|notte
🌙	spicchio di luna	calante|cielo|crescente|gobba|luna|natura|notte|spazio|spicchio di luna|ultimo quarto
🌚	faccina luna nuova	faccina|faccina luna nuova|luna|luna nera|luna nuova|luna nuova con faccina|natura|notte
🌛	faccina primo quarto di luna	cielo|faccina|faccina primo quarto di luna|luna|luna con faccina|natura|notte|primo quarto di luna|quarto di luna con faccina
🌜	faccina ultimo quarto di luna	faccina|faccina della luna|faccina ultimo quarto di luna|luna|luna con faccina|natura|notte|quarto di luna con faccina|ultimo quarto di luna
🌝	faccina luna piena	faccina|faccina con la luna|faccina della luna|faccina luna piena|luna|luna con faccina|luna piena|luna piena con faccina|natura
🌞	faccina sole	bel tempo|caldo|denari|estate|faccina|giornata|giorno|meteo|sole|soleggiato
🌟	stella che brilla	brillante|evvai|felicità|festeggiare|natura|notte|scintillante|sorpresa|stella|stella che brilla|stella con scintille|stellina
🌠	stella cadente	cadente|desiderio|fortuna|notte|stella
🌭	hot dog	cibo|hot dog|panino|street food|wurstel
🌮	taco	cibo|cucina messicana|guacamole|messicana|messicano|Messico|ristorante|salsa|taco|tacos
🌯	burrito	burrito|cucina messicana|Messico
🌰	castagna	autunno|bosco|caldarroste|castagna|cibo|frutta|frutto|nocciola
🌱	germoglio	germoglio|natura|pianta|piantina|primavera
🌲	albero sempreverde	abete|albero|albero di natale|conifera|foresta|natura|pino|sempreverde
🌳	albero deciduo	albero|albero rotondo|caduco|deciduo|natura|pianta
🌴	palma	albero|natura|palma|spiaggia|tropicale|tropici
🌵	cactus	cactus|caldo|deserto|messico|natura|pianta|pianta grassa|spina|spine|west
🌷	tulipano	fiore|giardino|natura|pianta|rosa|tulipano
🌸	fiore di ciliegio	ciliegio|fiore|fiore di ciliegio|fiorito|natura|pianta|primavera|primula|rosa
🌹	rosa	amore|bellezza|fiore|giardino|natura|pianta|regalo|rosa|rosa rossa|rosso
🌺	ibisco	fiore|ibisco|natura|pianta|rosso
🌻	girasole	fiore|giallo|girasole|natura|pianta
🌼	fiore	bocciolo|fiore|fiorellino|giallo|margherita|natura|pianta
🌽	pannocchia	cibo|fattoria|granoturco|mais|pannocchia|verdura
🌾	pianta di riso	cereale|natura|pianta|pianta di riso|riso|spiga|spiga di riso
🌿	pianta	foglia|natura|pianta|ramo|verde
🍀	quadrifoglio	foglia|fortuna|natura|pianta|piante|quadrifoglio|quattro
🍁	foglia d’acero	autunno|foglia|foglia caduta|foglia d’acero|natura
🍂	foglia caduta	autunno|cadute foglia|foglia|foglia caduta|foglie|foglie cadute|foglie che cadono|foglie rosse|natura|ramo
🍃	foglia al vento	foglia|foglia al vento|foglie|vento|vento che soffia
🍄	fungo	amanita|autunno|biancaneve|bosco|favola|fiaba|funghetto|fungo|natura|velenoso
🍄‍🟫	fungo marrone	autunno|bosco|champignon|cibo|fungo|fungo marrone|natura|porcino|vegano|vegetale|vegetariano
🍅	pomodoro	cibo|pomodoro|rosso|verdura
🍆	melanzana	cibo|melanzana|verdura
🍇	uva	cibo|dioniso|frutta|frutto|grappolo|grappolo d’uva|uva|vino|viola
🍈	melone	cantaloupe|cibo|frutta|frutto|melone|oliva
🍉	anguria	anguria|cibo|frutta|frutto
🍊	mandarino	agrume|agrumi|arancia|cibo|frutta|frutto|mandarino|vitamina C
🍋	limone	agrume|aspro|cibo|estate|frutta|frutto|giallo|limone
🍋‍🟩	lime	agrume|cibo|cocktail|dissetante|frutta|lime|limone|limone verde|mojito|succo|tequila|tropicale
🍌	banana	banana|cibo|frutta|frutto|potassio
🍍	ananas	ananas|cibo|frutta|frutto|pina colada|tropicale
🍎	mela rossa	cibo|dieta|frutta|frutto|mela|rossa
🍏	mela verde	cibo|dieta|frutta|frutto|mela|verde
🍐	pera	cibo|frutta|frutto|pera
🍑	pesca	cibo|frutta|frutto|pesca
🍒	ciliegie	cibo|ciliegia|ciliegie|frutta|frutto
🍓	fragola	cibo|fragola|frutta|frutto|rosso
🍔	hamburger	burger|cibo|fast food|hamburger|panino|ristorante|sandwich
🍕	pizza	cena|cibo|fame|fetta|fetta di pizza|pizza|pizzeria|ristorante
🍖	carne	barbecue|carne|carne con osso|cibo|fame|osso|ristorante
🍗	coscia di pollo	carne|cibo|coscia|coscia di pollo|coscia di tacchino|fame|osso|pollo|ristorante|tacchino
🍘	galletta di riso	cibo|galletta di riso|riso
🍙	onigiri	arancino di riso|arancino di riso giapponese|cibo|giapponese|onigiri|orientale|polpetta di riso giapponese|riso|ristorante
🍚	riso bollito	cibo|cinese|riso|riso bollito|ristorante
🍛	riso al curry	cibo|curry|India|indiano|riso|riso al curry|ristorante
🍜	ciotola fumante	bacchette|cibo|cinese|ciotola di noodle|ciotola fumante|giapponese|noodle|pho|piatto caldo|ramen|ristorante
🍝	spaghetti	cena|cibo|cucina|cucinare|fame|pasta|pranzo|puttanesca|ragù|ristorante|spaghetti
🍞	pane in cassetta	carboidrati|cereali|cibo|pancarré|pane|pane a cassetta|pane in cassetta|ristorante|toast
🍟	patatine	cibo|patatine|patatine fritte|ristorante
🍠	patata dolce arrosto	arrosto|cibo|dolce|ortaggio|patata|verdura
🍡	dango	dango|dolce|dolcetto|palline di mochi|ristorante|spiedino di mochi
🍢	oden giapponese	cibo|cucina|kebab|oden|oden giapponese|pesce|ristorante|spiedino|spiedino di pesce
🍣	sushi	cibo|cucina|giapponese|riso|ristorante|salmone|sushi
🍤	gambero fritto	cibo|gamberetto|gambero|gambero fritto|ristorante|tempura
🍥	tortino di pesce a spirale	cibo|crocchetta di pesce|cucina giapponese|giapponese|pesce|ristorante|rotolo di pesce|spirale|tortino di pesce a spirale
🍦	cono gelato	bar|cono|crema|dessert|dolce|estate|gelateria|gelato|ristorante|zucchero
🍧	granita	cibo|estate|ghiaccio|granita|granita siciliana|Sicilia
🍨	coppa di gelato	cibo|coppa di gelato|crema|dessert|dolce|estate|gelateria|gelato|ristorante|zucchero
🍩	ciambella	ciambella|cibo|cioccolato|dolce|donut|ristorante|zucchero
🍪	biscotto	biscottino|biscotto|cibo|cioccolato|cookie|dessert|dolce|gocce di cioccolato|ristorante|zucchero
🍫	cioccolato	barretta di cioccolato|break|cibo|cioccolata|cioccolato|dolce|dolcetto|felicità|goloso|halloween|ristorante|snack
🍬	caramella	caramella|caramelle|dolce|dolcetti|dolcetto|dolci|dolciume|halloween|zucchero
🍭	lecca lecca	caramella|chupa chups|dolce|dolcetti|dolcetto|dolci|lecca lecca|ristorante|willi wonka|zucchero
🍮	budino	budino|cibo|creme caramel|dessert|dolce|dolci|pudding|ristorante|zucchero
🍯	barattolo di miele	api|barattolo|barattolo di miele|cibo|dolce|miele|ristorante|vaso|vaso di miele|winnie the pooh|zucchero
🍰	fetta di torta	dessert|dolce|fetta|fetta di torta|ristorante|torta|zucchero
🍱	bento box	bento box|lunch box|monoporzione|piatto pronto|ristorante
🍲	pentola di cibo	cibo|ciotola di cibo|minestra|pentola di cibo|ristorante|stufato|zuppa
🍳	cucinare	cibo|colazione all’americana|cucinare|friggere|padella|padellino|ristorante|uova|uovo|uovo in padella
🍴	forchetta e coltello	affamata|affamato|cena|che fame|cibo|cucinare|fame|forchetta e coltello|mangiare|posate|pranzo|ristorante
🍵	tazza da tè senza manico	bere|bevanda|pomeriggio|sete|tazza|tazza da tè senza manico|tazza di tè|tazzina|tè
🍶	sakè	bar|bere|bevanda|bicchiere|bottiglia|bottiglia e bicchiere di sake|bottiglia e bicchiere di sakè|giapponese|ristorante|sake|sakè
🍷	bicchiere di vino	alcool|bar|bere|bicchiere|bicchiere di vino|calice|enoteca|ristorante|vino
🍸	cocktail	alcol|alcolico|bar|bere|bevanda|bicchiere|bicchiere da cocktail|calice|cocktail|drink|ristorante
🍹	cocktail tropicale	alcool|bar|bere|club|cocktail|drink|ristorante|tropicale
🍺	boccale di birra	alcool|bar|bere|birra|boccale di birra|estate|Germania|octoberfest|pinta|pub|ristorante|sete
🍻	boccali di birra	alcool|bar|birra|birre|boccali di birra che brindano|brindisi|celebrare|cin cin|festeggiare|pub|ristorante
🍼	biberon	bambina|bambino|bebé|bere|biberon|bimba|bimbo|fame|latte|neonata|neonato|tenero
🍾	bottiglia stappata	auguri|bar|bere|brindisi|celebrare|champagne|congratulazioni|festeggiare|spumante|stappare|tappo
🍿	popcorn	cibo|cinema|mais|popcorn
🎀	fiocco	auguri|bambina|bebé|festa|fiocco|fiocco rosa|neonata
🎁	regalo	dono|festa|fiocco|Natale|pacchetto|regalino|regalo|sorpresa
🎂	torta di compleanno	auguri di compleanno|buon compleanno|candeline|cibo|compleanno|dolce|festa|festeggiare|pasticceria|tanti auguri|torta di compleanno|zucchero
🎃	zucca di Halloween	festa|Halloween|lanterna|zucca|zucca di Halloween
🎄	albero di Natale	albero|albero di Natale|celebrare|festa|festeggiare|festoni|Natale|natura|palline|pino
🎅	Babbo Natale	Babbo Natale|cappello|fest|festa|Natale|Santa Claus|uomo
🎆	fuochi d’artificio	boom|celebrazione|festa|fuochi d’artificio|fuoco d’artificio|luce|scintilla|stella
🎇	stellina scintillante	boom|esplosione|festa|fuoco|fuoco d’artificio|stella filante|stellina scintillante|stelline scintillanti
🎈	palloncino	auguri|compleanno|festa|palloncino
🎉	spara coriandoli	auguri|compleanno|congratulazioni|coriandoli|evviva|felicità|festa|party|spara coriandoli|stelle filanti|urrà|yahoo
🎊	coriandoli	carnevale|congratulazioni|coriandoli|decorazioni|evviva|festa|festeggiare|palla|palla di coriandoli|stelle filanti
🎋	albero di Tanabata	albero|albero decorato|albero di Tanabata|decorazioni|decorazioni di carta|festa|Festa delle stelle|giappone|giapponese|natura
🎌	bandiere del Giappone incrociate	bandiere|bandiere del Giappone incrociate|festa|festeggiamenti|Giappone|giapponese|giapponesi|incrociate
🎍	bambù decorato	bambù|bambù decorato|decorazione kadomatsu|festa|giapponese|pianta|pino
🎎	bambole giapponesi	bambole|festa|Festa delle bambole|giapponesi|Hina-matsuri|Hinamatsuri|imperatore|imperatore e imperatrice|imperatrice
🎏	aquilone a forma di carpa	aquilone|aquilone a forma di carpa|carpa|festa|giapponese|pesce
🎐	campana al vento	campana|campana al vento|campanelle|campanelle a vento|festa|scacciapensieri|vento
🎑	contemplazione della luna	contemplazione della luna|contemplazione festa|festa|festa della contemplazione della luna|festa della luna|festeggiare|luna
🎒	zaino	accessori|campeggio|cartella|cartella di scuola|compiti|istruzioni|scuola|viaggiare|zainetto|zaino|zaino di scuola|zaino per la scuola
🎓	cappello da laureato	cappello|cappello da laureato|festa|istruzione|laurea|laureata|laureato|università
🎠	cavallo da giostra	cavallino|cavallo|cavallo da giostra|giostra|infanzia|intrattenimento
🎡	ruota panoramica	intrattenimento|london eye|luna park|panoramica|parco divertimenti|parco giochi|ruota
🎢	montagne russe	intrattenimento|luna park|montagne|parco divertimenti|russe
🎣	canna da pesca	canna da pesca|intrattenimento|lenza|pesca|pescare|pesce|sport
🎤	microfono	cantare|concerto|intrattenimento|Karaoke|microfono|musica|palco|presentare|spettacolo|teatro
🎥	cinepresa	cinema|cinepresa|film|filmare|hollywood|intrattenimento|registrare|telecamera
🎦	simbolo del cinema	cinema|cinepresa|film|filmare|hollywood|intrattenimento|simbolo del cinema|simbolo film
🎧	cuffie	ascoltare|auricolari|cuffie|intrattenimento|musica|suono
🎨	tavolozza	arte|artista|colori|creativo|dipingere|palette|pittore|pittura|tavolozza|tavolozza dei colori
🎩	cilindro	abbigliamento|bombetta|cappello|cilindro|elegante|inglese|intrattenimento|lincoln|mago
🎪	circo	circo|festa|fiera|intrattenimento|orfei|spettacolo|tenda|tenda da circo|tendone
🎫	biglietto	ammissione|biglietto|cartellino|giallo|ingresso
🎬	ciak	ciak|ciak si gira|cinema|film|filmare|intrattenimento|lavagna|regista|scena|tavoletta
🎭	maschere	arte|arti performative|carnevale|dietro le quinte|intrattenimento|maschere|palco|performance|recitare|scena|shakespeare|teatro
🎮	gamepad	console|gamepad|giocare|gioco|joystick|videogioco
🎯	bersaglio	arciere|arco|bersaglio|colpire|freccette|gioco|sport|target|tiro con l’arco
🎰	slot machine	azzardo|casinò|gioco|gioco d’azzardo|scommesse|scommettere|slot|slot machine
🎱	palla da biliardo	8|biliardo|giocare|gioco|otto|palla da biliardo|palla otto|sport
🎲	dado	dadi|dado|gioco|gioco dei dadi
🎳	bowling	birilli|bowling|giocare|gioco|palla|palla da bowling|sport
🎴	carta da gioco Hanafuda	carta|carta da gioco|carta da gioco Hanafuda|carta dei fiori|giappone|giapponese|gioco|gioco di carte|Hanafuda
🎵	nota musicale	canzone|musica|nota|nota musicale
🎶	note musicali	canzone|melodia|musica|nota|note|note musicali|spartito
🎷	sassofono	blues|jazz|musica|sassofono|sax|strumento|strumento musicale|suonare
🎸	chitarra	band|basso|chitarra|corde|elettrica|musica|rock|strumento|strumento musicale|suonare
🎹	piano	classica|comporre|jazz|musica|piano|pianoforte|strumento|strumento musicale|suonare|tastiera
🎺	tromba	band|banda|blues|concerto|gruppo|jazz|musica|strumento|strumento musicale|tromba|trombone
🎻	violino	musica|orchestra|strumento|strumento musicale|suonare|violino
🎼	pentagramma	chiave|chiave di violino|musica|partitura|pentagramma
🎽	maglia da corsa	abbigliamento|correre|corsa|fascia|maglia|maglia da corsa|maglia da corsa con fascia|sport
🎾	tennis	giallo|palla|palla da tennis|pallina|pallina gialla|racchetta e palla da tennis|sport|tennis
🎿	sci	accessori|scarpone|scarpone da sci|sci|sport
🏀	palla da pallacanestro	basket|basketball|canestro|canestro da basket|palla|palla da pallacanestro|pallacanestro|pallone|pallone da basket|sport
🏁	bandiera a scacchi	bandiera|bandiera a scacchi|circuito|corsa|gara|podio|scacchi|sport|vittoria
🏂	persona sullo snowboard	inverno|montagna|neve|omino in snowboard|persona|persona sullo snowboard|snowboard|sport|tavola|uomo sullo snowboard
🏃	persona che corre	correre|corsa|di corsa|gara|jogging|maratona|persona|persona che corre|sport
🏄	persona che fa surf	mare|onde|persona|persona che fa surf|spiaggia|sport|surf|surfare|tavola
🏅	medaglia sportiva	campione|corsa|gara|medaglia|medaglia sportiva|podio|risultato sportivo|sport|vincere|vittoria
🏆	coppa	campione|coppa|premio|sport|trofeo|vincere|vincitore|vittoria
🏇	ippica	cavallo|cavallo da corsa|corse|fantino|galoppare|galoppo|ippica|sport|trotto
🏈	football americano	americano|football|palla|sport
🏉	pallone da rugby	palla|pallone|pallone da rugby|rugby|sport
🏊	persona che nuota	bracciata|gara|nuotare|nuotatore|nuoto|persona che nuota|sport|stile libero
🏏	cricket	cricket|gioco|mazza|palla|sport
🏐	palla da pallavolo	palla|palla da pallavolo|pallavolo|pallone|rete|sport|volley
🏑	hockey su prato	campo|hockey|hockey su prato|mazza|palla|partita|sport
🏒	hockey su ghiaccio	ghiaccio|giocare|hockey su ghiaccio|hockey sul ghiaccio|mazza|mazza da hockey|puck|sport
🏓	ping pong	giocare|gioco|pallina|ping pong|racchetta|rete|sport|tennis da tavolo|tennis tavolo
🏠	casa	abitazione|casa|casa di campagna|casetta|edificio|fattoria|villetta
🏡	casa con giardino	abitazione|casa|casa con giardino|casa di campagna|casetta|edificio|giardino|nido|villa|villetta
🏢	edificio	edificio|edificio di uffici|edifico di uffici|palazzo|ufficio
🏣	ufficio postale giapponese	edificio|giapponese|palazzo|posta|ufficio postale|ufficio postale giapponese
🏤	ufficio postale	edificio|europeo|posta|ufficio postale|ufficio postale europeo
🏥	ospedale	clinica|COVID|edificio|emergenza|infermiera|infermiere|malattia|medici|medicina|ospedale|pronto soccorso
🏦	banca	banca|denaro|edificio|finanza|mutuo|prelevare|soldi|wall street
🏧	simbolo dello sportello bancomat	ATM|banca|bancomat|denaro|prelevare|simbolo dello sportello bancomat|soldi|spiccioli
🏨	hotel	albergo|edificio|hotel|palazzo
🏩	love hotel	amore|edificio|hotel|love hotel|motel
🏪	minimarket	24 ore|autogrill|edificio|minimarket|negozio|negozio aperto 24 ore|supermercato
🏫	scuola	alunni|classe|classi|edificio|imparare|insegnante|liceo|maestra|scuola|università
🏬	grande magazzino	centro|commerciale|edificio|grande magazzino
🏭	fabbrica	azienda|ciminiera|edificio|fabbrica|industria|industriale|inquinamento|produzione|stabile
🏮	lanterna rossa	bar ristorante|cinese|giapponese|izakaya|lanterna|lanterna rossa|lanterne|luce|rosso
🏯	castello giapponese	asia|casa|castello|edificio|giappone|giapponese|palazzo
🏰	castello	castello|edificio|fiaba|fiabe|palazzo
🏴	bandiera nera	bandiera|bandiera che sventola|bandiera nera
🏸	badminton	badminton|giocare|gioco|racchetta|sport|volano
🏹	arco e freccia	arciere|arco|arco e freccia|cacciare|freccia|Sagittario|sport|tiratore d’arco|tiro con l’arco
🏺	anfora	acquario|anfora|ornamento|reperto|segno zodiacale|vaso
🐀	ratto	animale|animali|fogna|ratto|topastro|topo
🐁	topo	animale|animali|cavia|topo|Topo|topolino
🐂	bue	animale|animali|bovini|bovino|bue|domestico|fattoria|segno zodiacale del toro|toro
🐃	bufalo d’acqua	animale|animali|animali selvatici|bufalo|bufalo d’acqua
🐄	mucca	animale|animali|fattoria|latte|mucca|muu|vacca
🐅	tigre	animale|animali|felino|predatore|tigre
🐆	leopardo	animale|felino|leopardo|predatore|selvatico
🐇	coniglio	animale|animali|coniglietto|coniglio|domestico|fattoria
🐈	gatto	animale|cucciolo|domestico|gatta|gattina|gattino|miao|micino|micio
🐈‍⬛	gatto nero	animale|felino|gatto|halloween|miao|micio|nero|sfiga|sfortuna
🐉	drago	animale|animali|cinese|drago|dragone|fiaba|game of thrones|mitologia|trono di spade
🐊	coccodrillo	animale|coccodrillo|lacrime di coccodrillo|rettile|selvatico
🐋	balena	animale|animali|balena|cetaceo|mare|oceano
🐌	lumaca	animale|giardino|lentezza|lento|lumachina|lumacone|natura
